               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11533,            0.015558,             0.02457,          0.00074172,             0.12745,           0.0020489,          0.00056034,             0.10372,            0.012487,            0.020169,            0.070073,           0.0033252,           0.0033252
                   1,             0.10277,             0.01292,            0.017334,             0.79659,            0.047061,            0.027724,           0.0076844,            0.091274,            0.011666,            0.016934,            0.040051,           0.0066365,           0.0066365
                   2,            0.097444,            0.012041,            0.016076,             0.80499,            0.037856,            0.025126,           0.0077656,            0.094916,            0.012199,            0.017453,            0.010007,           0.0099259,           0.0099259
                   3,            0.094945,            0.012068,            0.015106,             0.34934,            0.098353,            0.050176,            0.015536,            0.088036,            0.011756,            0.014705,            0.009901,            0.009901,            0.009901
                   4,            0.092205,            0.012093,            0.014255,             0.11168,              0.1294,            0.060931,            0.021264,            0.085572,            0.011763,            0.014815,            0.009901,            0.009901,            0.009901
                   5,            0.090687,            0.011986,            0.013466,             0.16588,             0.14003,            0.075354,            0.025938,            0.085753,            0.011499,            0.014756,            0.009868,            0.009868,            0.009868
                   6,            0.089952,             0.01182,            0.013795,             0.16038,             0.14218,            0.077434,            0.023581,            0.083757,            0.011711,            0.013892,            0.009835,            0.009835,            0.009835
                   7,            0.089385,            0.012045,             0.01294,             0.13009,             0.12789,            0.082738,            0.026001,            0.084191,            0.011837,            0.014061,            0.009802,            0.009802,            0.009802
                   8,            0.088317,            0.011559,            0.012351,             0.27246,             0.13757,            0.093683,            0.030927,            0.081914,            0.011431,            0.013519,            0.009769,            0.009769,            0.009769
                   9,             0.08814,            0.011774,            0.012648,             0.28372,             0.12883,            0.092411,            0.028908,              0.0814,             0.01165,            0.013466,            0.009736,            0.009736,            0.009736
                  10,            0.087156,            0.011825,            0.012177,             0.14741,             0.15277,             0.10122,            0.033301,            0.083124,            0.011762,             0.01373,            0.009703,            0.009703,            0.009703
                  11,            0.087566,            0.011708,            0.012333,             0.18571,             0.18537,             0.11301,            0.041229,            0.081558,            0.011496,            0.013512,             0.00967,             0.00967,             0.00967
                  12,            0.086997,            0.011659,            0.012046,             0.28471,             0.19046,             0.12697,            0.043393,            0.081427,            0.011545,            0.013258,            0.009637,            0.009637,            0.009637
                  13,            0.086007,            0.011649,            0.011626,             0.24737,             0.15917,             0.10518,            0.037903,            0.080462,            0.011706,            0.013514,            0.009604,            0.009604,            0.009604
                  14,            0.085391,            0.012108,            0.011861,             0.21698,             0.17055,             0.11576,            0.040025,            0.080444,            0.011496,            0.013272,            0.009571,            0.009571,            0.009571
                  15,            0.084995,            0.011645,            0.011372,             0.46811,             0.17423,             0.14155,            0.050137,            0.078659,            0.011467,            0.013108,            0.009538,            0.009538,            0.009538
                  16,            0.085492,            0.011481,            0.010928,             0.28127,             0.18848,             0.13685,            0.047187,            0.079705,            0.011608,            0.012641,            0.009505,            0.009505,            0.009505
                  17,            0.085359,            0.011525,            0.011466,             0.31316,             0.17096,              0.1277,            0.045224,            0.078655,            0.011621,            0.012019,            0.009472,            0.009472,            0.009472
                  18,            0.084293,            0.011366,            0.010901,             0.18861,              0.1744,             0.10425,            0.036914,            0.079365,            0.011587,            0.013201,            0.009439,            0.009439,            0.009439
                  19,            0.084255,            0.011471,            0.010755,             0.19333,             0.21419,             0.12274,            0.043771,            0.080342,            0.011792,            0.013258,            0.009406,            0.009406,            0.009406
                  20,            0.083992,            0.011685,            0.010425,             0.25878,             0.20029,             0.14144,            0.050548,            0.078266,            0.011429,            0.011702,            0.009373,            0.009373,            0.009373
                  21,             0.08288,            0.011604,           0.0099967,             0.26831,             0.16502,             0.12399,            0.043129,            0.078804,            0.011547,            0.013586,             0.00934,             0.00934,             0.00934
                  22,             0.08317,            0.011818,            0.010408,             0.25426,             0.18903,              0.1267,            0.047446,            0.078675,            0.011559,            0.012698,            0.009307,            0.009307,            0.009307
                  23,            0.083175,            0.011255,            0.010165,             0.25423,             0.17211,             0.13454,            0.049314,             0.07682,            0.011508,            0.013484,            0.009274,            0.009274,            0.009274
                  24,            0.082757,            0.011512,           0.0098579,             0.26899,             0.17562,             0.13229,            0.046899,             0.07855,            0.011502,            0.012951,            0.009241,            0.009241,            0.009241
                  25,            0.082139,            0.011927,           0.0095709,             0.22669,             0.18726,              0.1233,             0.04363,            0.077336,            0.011403,            0.013088,            0.009208,            0.009208,            0.009208
                  26,            0.082013,            0.011332,           0.0097391,             0.26661,             0.21162,             0.14827,            0.057394,            0.077682,            0.011227,            0.012648,            0.009175,            0.009175,            0.009175
                  27,            0.081949,             0.01138,           0.0095897,             0.24473,             0.21898,             0.15532,            0.056627,            0.076759,            0.011353,            0.011996,            0.009142,            0.009142,            0.009142
                  28,            0.081954,            0.011619,           0.0097843,             0.26702,              0.2033,             0.15744,            0.053305,            0.077504,            0.011344,            0.012448,            0.009109,            0.009109,            0.009109
                  29,            0.081556,            0.011311,           0.0090943,             0.30715,             0.20241,             0.15416,             0.05659,            0.077613,             0.01131,             0.01246,            0.009076,            0.009076,            0.009076
                  30,            0.081628,            0.011489,           0.0095345,             0.25955,              0.2152,             0.14939,            0.054919,            0.075673,            0.011353,            0.012279,            0.009043,            0.009043,            0.009043
                  31,            0.081382,            0.011383,           0.0088981,             0.22325,             0.18006,             0.13296,            0.047856,            0.076613,            0.011395,            0.012877,             0.00901,             0.00901,             0.00901
                  32,            0.081256,            0.011059,            0.009175,             0.25517,             0.18343,              0.1476,            0.052316,            0.076278,            0.011282,            0.013641,            0.008977,            0.008977,            0.008977
                  33,            0.081298,            0.011511,           0.0091357,             0.26815,             0.17433,             0.14331,            0.050039,             0.07794,            0.011394,            0.012804,            0.008944,            0.008944,            0.008944
                  34,            0.081015,            0.011159,            0.008903,              0.2563,             0.22783,             0.15948,            0.059996,             0.07563,            0.011257,            0.012393,            0.008911,            0.008911,            0.008911
                  35,            0.080772,            0.011326,           0.0092645,             0.34437,              0.1767,             0.15643,            0.058771,            0.076184,             0.01132,            0.012471,            0.008878,            0.008878,            0.008878
                  36,            0.081104,            0.011375,           0.0091171,             0.25236,             0.22557,             0.14641,            0.053167,             0.07544,            0.011412,             0.01292,            0.008845,            0.008845,            0.008845
                  37,             0.08066,            0.011208,           0.0087517,             0.24497,             0.22017,             0.15628,            0.056234,            0.077926,            0.011296,            0.013029,            0.008812,            0.008812,            0.008812
                  38,            0.080103,            0.011327,           0.0087606,               0.302,             0.21311,             0.17912,            0.068045,            0.076396,            0.011297,            0.011924,            0.008779,            0.008779,            0.008779
                  39,            0.080186,            0.011537,           0.0080318,             0.29835,             0.21967,              0.1676,            0.059753,            0.074858,            0.011306,            0.012985,            0.008746,            0.008746,            0.008746
                  40,            0.079629,            0.011382,           0.0079022,             0.28274,             0.24426,             0.16457,            0.058162,            0.075673,            0.011317,            0.012935,            0.008713,            0.008713,            0.008713
                  41,             0.07975,            0.011513,           0.0080831,             0.32785,             0.21713,             0.16957,            0.060473,             0.07524,            0.011398,            0.012244,             0.00868,             0.00868,             0.00868
                  42,             0.07912,            0.011375,           0.0080475,             0.33052,             0.22575,             0.16348,            0.062485,            0.075206,            0.011385,             0.01261,            0.008647,            0.008647,            0.008647
                  43,            0.079048,            0.011285,           0.0078885,             0.27892,             0.25609,             0.18398,            0.069843,            0.074194,            0.011232,            0.012006,            0.008614,            0.008614,            0.008614
                  44,             0.07898,            0.011253,           0.0077338,             0.23074,              0.2078,             0.15337,            0.056207,            0.075097,            0.011476,            0.011871,            0.008581,            0.008581,            0.008581
                  45,            0.079066,            0.011614,           0.0075732,             0.30952,             0.21617,             0.16842,            0.062027,            0.074267,            0.011316,            0.012476,            0.008548,            0.008548,            0.008548
                  46,            0.078843,            0.011206,           0.0076565,             0.25999,             0.23022,             0.16545,            0.060116,            0.073691,            0.011263,            0.012849,            0.008515,            0.008515,            0.008515
                  47,            0.079081,            0.011498,           0.0073616,             0.29541,             0.20992,             0.16146,            0.059076,            0.074694,            0.011426,            0.012749,            0.008482,            0.008482,            0.008482
                  48,            0.077972,            0.010861,           0.0079157,             0.27213,             0.23067,              0.1629,            0.059218,            0.074734,            0.011446,            0.013294,            0.008449,            0.008449,            0.008449
                  49,            0.078274,            0.011197,           0.0074533,             0.27525,             0.21494,             0.17566,             0.06678,            0.073536,            0.011254,            0.012438,            0.008416,            0.008416,            0.008416
                  50,            0.078244,            0.011485,           0.0074388,             0.31073,             0.22849,              0.1777,            0.062659,            0.074182,            0.011363,            0.013138,            0.008383,            0.008383,            0.008383
