               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079323,            0.021826,            0.041903,             0.52699,             0.18253,             0.11894,            0.044298,            0.063984,            0.012844,            0.026421,            0.070018,           0.0033314,           0.0033314
                   1,            0.065094,            0.019142,            0.022962,             0.59988,             0.20749,             0.17176,            0.072306,            0.061124,            0.012626,            0.026384,            0.039985,           0.0066317,           0.0066317
                   2,            0.064014,            0.019181,            0.021773,             0.57222,             0.19317,             0.15632,            0.058947,            0.062869,            0.012958,            0.022586,           0.0099187,           0.0098991,           0.0098991
                   3,            0.063219,            0.019486,            0.021015,             0.55949,             0.25418,             0.22504,            0.093988,            0.058142,            0.012794,            0.018726,           0.0098515,           0.0098515,           0.0098515
                   4,            0.060803,            0.018897,             0.01904,             0.59836,             0.27591,             0.26042,             0.11276,            0.057032,            0.012474,            0.017562,           0.0098515,           0.0098515,           0.0098515
                   5,            0.059433,            0.018445,             0.01804,             0.61341,             0.29191,             0.27332,             0.12298,             0.05489,            0.012429,            0.015421,            0.009802,            0.009802,            0.009802
                   6,            0.058091,            0.018561,            0.017049,             0.62085,             0.29674,             0.28925,             0.12846,            0.054705,            0.012415,            0.015736,           0.0097525,           0.0097525,           0.0097525
                   7,            0.057301,            0.018637,            0.016355,             0.63133,             0.31539,             0.30783,             0.14201,            0.053581,            0.013149,            0.015333,            0.009703,            0.009703,            0.009703
                   8,            0.056771,            0.018425,            0.015725,              0.6268,             0.32203,             0.32878,             0.14778,            0.053022,            0.012292,            0.014854,           0.0096535,           0.0096535,           0.0096535
                   9,            0.056467,            0.018313,            0.015311,             0.64503,             0.32761,             0.34825,             0.16568,            0.053474,            0.012474,            0.015129,            0.009604,            0.009604,            0.009604
                  10,            0.055704,             0.01821,            0.014855,             0.65111,             0.34374,             0.34036,             0.16256,            0.052204,            0.012577,             0.01437,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055558,            0.018191,             0.01477,             0.57323,             0.39592,             0.37826,             0.18008,              0.0517,            0.012338,            0.013246,            0.009505,            0.009505,            0.009505
                  12,            0.055272,            0.018204,            0.014524,             0.58286,             0.38042,               0.372,             0.17812,            0.051576,            0.012492,            0.013489,           0.0094555,           0.0094555,           0.0094555
                  13,            0.055089,            0.018054,            0.014521,             0.60406,             0.39638,             0.39374,             0.18948,            0.050798,            0.012188,             0.01326,            0.009406,            0.009406,            0.009406
                  14,            0.054813,            0.017804,            0.014031,             0.60144,             0.39306,             0.39092,             0.18708,            0.050444,            0.012463,            0.013003,           0.0093565,           0.0093565,           0.0093565
                  15,            0.054649,            0.017975,             0.01387,             0.59509,             0.42947,             0.40402,              0.1916,            0.050132,            0.012192,            0.013171,            0.009307,            0.009307,            0.009307
                  16,            0.054255,            0.017881,            0.013686,             0.62075,             0.41098,             0.41172,             0.20242,            0.049795,            0.012265,            0.011983,           0.0092575,           0.0092575,           0.0092575
                  17,            0.053781,             0.01764,            0.013428,             0.63825,             0.41198,             0.40859,              0.2011,            0.049414,            0.012125,            0.011508,            0.009208,            0.009208,            0.009208
